attore,film,anno
Claude Register,"Vernon, Florida",1981
Harry Andrews,Wuthering Heights,1970
Blake Jenner,The Edge of Seventeen,2016
Andy Samberg,Cloudy With a Chance of Meatballs,2009
David Kelly,Waking Ned Devine,1998
Judi Dench,Murder On The Orient Express,2017
Joan Hackett,The Last of Sheila,1973
Giuseppe Addobbati,Il portiere di notte (The Night Porter),1974
Frank Losee,Orphans of the Storm,1921
Harry Guardino,Pork Chop Hill,1959
Hume Cronyn,Shadow of a Doubt,1943
Randolph Scott,My Favorite Wife,1940
Gordon Jones,Flying Tigers,1942
Aliza Rozen,The Farewell Party,2015
Laurence Fishburne,Batman v Superman: Dawn of Justice,2016
Glenda Jackson,Sunday Bloody Sunday,1971
Mike Connors,Sudden Fear,1952
Shawn Wayans,Don't Be a Menace to South Central While Drinking Your Juice in The Hood,1996
Christa Campbell,Spiders,2013
Mary Elizabeth Mastrantonio,My Life So Far,1999
Michaela DePrince,First Position,2012
Mike McCready,Gleason,2016
Dick Miller,A Bucket of Blood,1959
Jon Proudstar,Barking Water,2009
Caroline Sihol,La Fille Coupe en Deux (The Girl Cut in Two) (A Girl Cut in Two),2008
Eddie Marsan,Concussion,2015
Keith Diamond,Dr. Giggles,1992
Amanda Donohoe,The Lair of the White Worm,1988
Ralph Richardson,O Lucky Man!,1973
Bob Hoskins,Disney's A Christmas Carol,2009
Arthur Kennedy,City for Conquest,1940
Shelley Duvall,Home Fries,1998
Antone Pagan,Here and There,2010
Jack Kraus,Bellflower,2011
Lulu Wilson,Annabelle: Creation,2017
Masaaki Daimon,Lady Snowblood (Shurayukihime),1973
Jason Isaacs,The End of the Affair,1999
Frederic Forrest,The Conversation,1974
Kentaro Shimazu,Kataude mashin gru (The Machine Girl),2008
Masatoshi Nagase,The Hidden Blade,2006
John Malkovich,Eragon,2006
Gerard Butler,300,2007
Michael Richards,Unstrung Heroes,1995
Laurence Fishburne,Class Action,1991
Brittany Murphy,Neverwas,2005
Demian Bichir,A Better Life,2011
Jane Krakowski,Big Stone Gap,2015
Brian Rawlinson,Blind Terror (See No Evil),1971
Gila Golan,Our Man Flint,1966
Siu Juen Dang,From Beijing with Love,1994
Genevive Bujold,Coma,1978
Prince,Purple Rain,1984
Michael Mosley,Hot Pursuit,2015
Jack MacGowran,The Giant Behemoth,1959
Penelope Milford,Heathers,1988
Brenton Thwaites,Oculus,2014
Mathieu Kassovitz,Birthday Girl,2002
Katie Holmes,Pieces of April,2003
Erik Potempa,Beach Rats,2017
Mila Parely,Beauty and The Beast (La Belle et la bte),1946
William Lee Scott,October Sky,1999
Jane Lynch,A.C.O.D.,2013
Seann William Scott,The Dukes of Hazzard,2005
Marlene Dietrich,Stage Fright,1950
Aaron Paul,Eye In The Sky,2016
Bruce Dern,Black Sunday,1977
Lauren Maher,Coherence,2014
Liam Boyle,Truth or Die,2012
Joan Allen,Hachi: A Dog's Tale,2009
Donald Brashear,The Last Gladiators,2013
Leonid Engibarov,Shadows of Forgotten Ancestors (Tini zabutykh predkiv),1967
William Hurt,Tuck Everlasting,2002
Paterson Joseph,The Other Man,2008
Jay Acton,An Unreasonable Man,2007
Trina McDonald,The Invisible War,2012
John Goodman,The Babe,1992
Luis Guzman,The Adventures of Pluto Nash,2002
Liam Sullivan,The Magic Sword,1962
Aviv Alush,The Shack,2017
Jeremy Gumbs,And Then Came Love,2007
Frank McRae,Used Cars,1980
Gertrude Astor,The Cat and the Canary,1927
Natar Ungalaaq,Atanarjuat: The Fast Runner (Atanarjuat),2002
Gene Kelly,The Three Musketeers,1948
Sarah Michelle Gellar,Happily N'ever After,2006
Michael Jeter,Jakob the Liar,1999
Yun-Fat Chow,The Children of Huang Shi,2008
David Paymer,Bartleby,2002
Pamela Brown,Dracula,1973
Kevin Kline,The Anniversary Party,2001
Gustav Frhlich,Metropolis,1927
Warren Mitchell,The Assassination Bureau,1969
Sean Connery,The Name of the Rose (Der Name der Rose),1986
Padma Devi,Jalsaghar (The Music Room),1958
Lee Marvin,Donovan's Reef,1963
David Cubitt,Shut In,2016
Javier Bardem,No Country for Old Men,2007
Harry Dean Stanton,Straight Time,1978
Anjelica Huston,The Life Aquatic with Steve Zissou,2004
Daryl Hannah,Speedway Junky,2002
John Speredakos,Unconscious,2006
Ina Strnad,Fallen (Falling),2006
Monty Python,Monty Python's And Now for Something Completely Different,1972
Ken Stott,The Hobbit: An Unexpected Journey,2012
Louise Brooks,Diary of a Lost Girl (Tagebuch einer Verlorenen),1929
Michael Kelly,Did You Hear About the Morgans?,2009
Guy Pearce,Lockout,2012
James Marsden,As Cool As I Am,2013
Brenda Sykes,Mandingo,1975
Jane Greer,Immediate Family,1989
Sean Harris,Macbeth,2015
Eric McCormack,Knife Fight,2013
Anna Faris,Smiley Face,2007
David Bradley (II),Kes,1969
Mark Harmon,Crossfire Trail,2001
Whit Bissell,Hud,1963
Carlos Alazraqui,Space Chimps 2: Zartog Strikes Back,2010
Colin Hanks,Alone with Her,2007
T.P. McKenna,Red Scorpion,1989
Ashley Laurence,Hellraiser: Hellseeker,2002
Christine Baranski,Reversal of Fortune,1990
Ellen Drew,Isle of the Dead,1945
Estelle Parsons,"Rachel, Rachel",1968
Jack Hawkins,The Bridge on the River Kwai,1957
Tony Plana,One Eight Seven,1997
Anna Paquin,The Good Dinosaur,2015
Dale Webster,Step Into Liquid,2003
Peter Berg,Fire in the Sky,1993
Nina Hoss,Barbara,2012
Kim Cattrall,Midnight Crossing,1988
Nick Cravat,The Island of Dr. Moreau,1977
Hugo Armstrong,Nanking,2007
Zo Kravitz,Gemini,2018
Sebastian Cabot,Twice Told Tales,1963
Roy Werner,Loco Love,2003
Brian Cox,The Ring,2002
Lynn Collins,X-Men Origins - Wolverine,2009
Danny Nucci,Explorers,1985
Takeshi Kitano,Fireworks (Hana-bi),1997
Jeanne Tripplehorn,Steal This Movie,2000
Andrei Chalimon,Kolya,1997
William Smith,Any Which Way You Can,1980
Forest Whitaker,Repentance,2014
Michel Varisco,Gleason,2016
John Malkovich,The Wilde Wedding,2017
Alexandra Borbly,On Body and Soul (A Testrl s Llekrl),2018
Jamal Woolard,Notorious,2009
Luke Goss,Death Race 3: Inferno,2013
Barbara Crampton,Beyond the Gates,2016
Mara Alfonsa Rosso,Cannibal,2014
Morris Chestnut,Two Can Play That Game,2001
Reg Rogers,I'll Take You There,1999
Liam James,The Way Way Back,2013
Mark Ivanir,Holy Rollers,2010
Esai Morales,The Principal,1987
Hannah Ware,The Angel,2018
Andr Marcon,The Pornographer,2001
Stephen Macht,Galaxina,1980
Harvey Keitel,Dangerous Game,1993
Scott Speedman,October Gale,2015
Jrgen Prochnow,The Da Vinci Code,2006
Ludwig Donath,Torn Curtain,1966
Rip Torn,Happy Tears,2010
Leslie Nielsen,Spy Hard,1996
Henry Fonda,Daisy Kenyon,1947
Brian Morvant,Darling,2016
David Niven,Bonjour Tristesse,1958
Amy Madigan,The Dark Half,1993
Brent Spiner,The Master of Disguise,2002
Joan Plowright,Dinosaur,2000
Leigh Taylor-Young,Looker,1981
McCaleb Burnett,Immigration Tango,2011
Stanley DeSantis,The Truth About Cats & Dogs,1996
Joaquim de Almeida,Whore,2004
Leonardo DiCaprio,Blood Diamond,2006
Eugenio Derbez,Geostorm,2017
Jake McDorman,The Escape of Prisoner 614,2018
Jeremy Theobald,Following,1999
Juliette Binoche,The 33,2015
Rosie Day,Ironclad: Battle for Blood,2014
Michael Rapaport,Lucky Numbers,2000
Katherine Flynn,The Auteur,2008
Jan B. Felt,Little Secrets,2002
Anjelica Huston,"Enemies, a Love Story",1989
William Hurt,Until the End of the World (Bis ans Ende der Welt),1992
Stephen Rakes,Whitey: United States of America v. James J. Bulger,2014
Jeremy Bulloch,Elstree 1976,2016
Laura Ramsey,Awful Nice,2014
Jose Mara Yazpik,Crnicas,2005
Michael Keaton,Gung Ho,1986
Justin Long,Yoga Hosers,2016
Liev Schreiber,Mental,2013
Robin Williams,Jakob the Liar,1999
Steve Braun,The Trip,2003
Vanessa Redgrave,Evening,2007
Moritz Bleibtreu,Goethe! (Young Goethe in Love),2011
Trond Fausa Aurvg,I am Yours,2013
Ruby Dee,Do the Right Thing,1989
"Wayne ""Rabbit"" Bartholomew",Bustin' Down the Door,2008
Patty Duke,Bigger Than the Sky,2005
Margo Stilley,Reverb,2007
Leslie Nielsen,Wrongfully Accused,1998
Alison Eastwood,Friends & Lovers,1999
Do Hai Yen,The Quiet American,2003
John Hensley,Hostel: Part III,2011
Sybil Thorndike,The Prince and the Showgirl,1957
Sean Connery,Wrong Is Right,1982
Vincent Zhao,God of War,2017
Kate Hodge,Beach Rats,2017
Laurence Naismith,The Valley of Gwangi,1969
Mattias Padin Varela,Point Break,2015
Sully Boyar,The Manhattan Project,1986
Charles Durning,Lakeboat,2000
Tom Wilkinson,Unfinished Business,2015
Tom Grant,Kurt & Courtney,1998
Mehcad Brooks,Creature,2011
Moon Bloodgood,Faster,2010
Yaphet Kotto,The Running Man,1987
Bobby Moore,Victory,1981
James Marsden,Robot & Frank,2012
Catherine ten Bruggencate,Antonia (Antonia's Line),1995
Nelsan Ellis,Secretariat,2010
Brett Halsey,Return of the Fly,1959
Kathleen Turner,The Virgin Suicides,2000
George Martin,Crossing Delancey,1988
Claire Keelan,Hush,2009
Danny Aiello,2 Days in the Valley,1996
Rhea Perlman,Canadian Bacon,1995
Mattia Sbragia,Heaven,2002
Mircea Monroe,The Change-Up,2011
Aymen Sadi,Tip Top,2014
Adam Levine,Begin Again,2014
Delroy Lindo,Domino,2005
Bob Holthus,The First Saturday in May,2008
Maya Rudolph,Strange Magic,2015
Chuck D.,All Things Must Pass: The Rise and Fall of Tower Records,2015
Ray Stevenson,Cirque du Freak: The Vampire's Assistant,2009
Tommy Kirk,The Absent-Minded Professor,1961
Huang Wei,The Class,2008
Demi Moore,Indecent Proposal,1993
Maria Pia Casilio,Indiscretion of an American Wife (Stazione Termini),1953
Daniel Radcliffe,Victor Frankenstein,2015
Leyla Haidarian,Vehicle 19,2013
P.J. Byrne,Eloise,2017
Frankie Negron,Boricua's Bond,2000
Gale Sondergaard,My Favorite Blonde,1942
Brianna Brown,Timber Falls,2007
Paz Vega,Spanglish,2004
Maja Maranow,Beloved Sisters,2015
Calista Flockhart,Telling Lies in America,1997
Denis Leary,Two if by Sea,1995
Rob Brown (VI),Take the Lead,2006
Jessica Lange,In Secret,2014
Rodrigo Obregon,Hard Ticket to Hawaii,1987
Maggie Smith,Harry Potter and the Sorcerer's Stone,2001
Parker Posey,HairBrained,2014
Vincent Lindon,La Moustache,2005
Elissa Landi,After the Thin Man,1936
John Travers,Wilderness,2006
Uwe Preuss,Der Samurai,2014
Andr Bervil,The Hole (Le Trou),1964
Peter Dinklage,Saint John of Las Vegas,2010
James Wilder,3 Holes and a Smoking Gun,2015
Helen Mirren,The Mosquito Coast,1986
Scoot McNairy,Aftermath,2017
Kris Lemche,Final Destination 3,2006
Joe Dempsie,Monsters: Dark Continent,2015
Sara Kestelman,Zardoz,1974
Marlene Dietrich,Der Blaue Engel (The Blue Angel),1930
Michael Caton,The Interview,2000
Hamish Bowles,The September Issue,2009
Steven Weber,My One and Only,2009
Kris Kristofferson,Rollover,1981
Hayden Szeto,Blumhouse's Truth or Dare,2018
Angel Aquino,On The Job,2013
Christian Bale,American Psycho,2000
Cristin de la Fuente,Vampires: Los Muertos,2002
Aubrey Morris,Visioneers,2008
Liam Neeson,Wrath of the Titans,2012
Bill Cobbs,Ed,1996
Sarah Wynter,Lost Souls,2000
Denis Podalyds,The Conquest,2011
Franoise Dorlac,The Young Girls of Rochefort (Les Demoiselles de Rochefort),1968
Candice Azzara,Easy Money,1983
Peter MacNeill,The Hanging Garden,1998
Elliott Gould,Bugsy,1991
Jonathan Pryce,Narcopolis,2015
Josh Pais,"Synecdoche, New York",2008
Christian Bale,3:10 to Yuma,2007
Jeffrey Jones,Ferris Bueller's Day Off,1986
Richard Roundtree,Earthquake,1974
Matthew Broderick,You Can Count On Me,2000
Sterling Macer Jr.,Double Take,2001
Jessica Lange,Sweet Dreams,1985
James Woods,Immediate Family,1989
Joel Edgerton,Gringo,2018
James Gleason,Here Comes Mr. Jordan,1941
Matthew McConaughey,Larger Than Life,1996
Rick Smalley,Nobelity,2006
Sorapong Chatri,Beautiful Boxer,2005
Albert Dupontel,Intimate Enemies,2007
Michael Schoeffling,Mermaids,1990
Jeremy Howard,Teenage Mutant Ninja Turtles,2014
Gil Lagay,Gilles' Wife (La Femme de Gilles),2005
Eddie Marsan,7 Days in Entebbe,2018
Chazz Palminteri,Diabolique,1996
Ophelia Lovibond,4.3.2.1,2010
Chad Lindberg,The Fast and the Furious,2001
Levi Meaden,Breaking In,2018
Lee Kang Sheng,Stray Dogs,2014
Frances De La Tour,The Lady In The Van,2015
Ethan Peck,The Curse of Sleeping Beauty,2016
Jeff Bridges,King Kong,1976
Morris Chestnut,Boyz n the Hood,1991
Walter Brooke,Conquest of Space,1955
John Hargrove,Blackfish,2013
William Mapother,Lords of Dogtown,2005
Lucas Neff,"Fear, Inc.",2016
Adam Smoot,Rollercoaster,2003
Joshua John Miller,Teen Witch,1989
Marco Prez,Gloria,2015
Rick Ravanello,The Cave,2005
Danielle von Zerneck,La Bamba,1987
Nigel Bruce,The Hound of the Baskervilles,1939
David James Elliott,Gooby,2009
Alice Krige,Stephen King's 'Sleepwalkers',1992
Kathy Griffin,Joan Rivers: A Piece Of Work,2010
Pamela Brown,Lust for Life,1956
Geoffrey Canada,Waiting for Superman,2010
Devon Sawa,SLC Punk,1998
Selma Blair,"Sex, Death And Bowling",2015
Yiftach Klein,Fill the Void,2013
Carla Gugino,Elektra Luxx,2011
Amanda Boyle,All the Little Animals,1999
Cathy Moriarty,The Mambo Kings,1992
Randy Quaid,National Lampoon's Christmas Vacation,1989
Geraldine Page,The Rescuers,1977
Richard Kind,A Bug's Life,1998
Grace Fulton,Badland,2007
Gregory Hlady,The Forbidden Room,2015
David Paymer,Chill Factor,1999
Bhagavan Angulo,The Wolfpack,2015
Tom Berenger,The Field,1990
Lee J. Cobb,Exodus,1960
Val Kilmer,Delgo,2008
Mark Webber,Chelsea Walls,2001
Eddie Fisher,Butterfield 8,1960
Joanna Dunham,The House That Dripped Blood,1971
Christopher Knights,Penguins Of Madagascar,2014
Kalin Sarmenov,Killing Season,2013
Idris Elba,The Losers,2010
Connie Gilchrist,It Should Happen to You,1954
Rupert Graves,Extreme Ops,2002
Daniel Iron,Inescapable,2013
Blair Underwood,G,2005
Mildred Natwick,The Trouble with Harry,1955
Dyan Cannon,The Revenge of the Pink Panther,1978
Lochlyn Munro,Dead Man on Campus,1998
Marilu Henner,L.A. Story,1991
Trent Reznor,SCORE: A Film Music Documentary,2017
David Clennon,Falling in Love,1984
Jacques Jouanneau,Judex,1963
Judy Davis,Impromptu,1991
Jeff Daniels,Dumb and Dumber To,2014
Mark Addy,Red Riding: 1983,2009
Thora Birch,Hocus Pocus,1993
Peter Stormare,Minority Report,2002
Franois Reichenbach,F for Fake,1974
Bill Duke,Bird on a Wire,1990
Bill Woods,Maniac,1934
Jim Metzler,976-EVIL,1989
Shemar Moore,The Brothers,2001
Schuyler Fisk,I'm Reed Fish,2007
Samaire Armstrong,Just My Luck,2006
Forest Whitaker,Ripple Effect,2008
Shizuko Hoshi,Come See the Paradise,1990
Alan King,Stephen King's 'Cat's Eye',1985
Albert Salmi,Wild River,1960
Lena Headey,Aberdeen,2001
Kevin Pearce [snow],The Crash Reel,2013
Lou Costello,Abbott and Costello Meet Dr. Jekyll and Mr. Hyde,1953
Tom Wilkinson,The Choice,2016
Ryan Eggold,Lucky Them,2014
Michael Moriarty,Shiloh 2: Shiloh Season,1999
Driss Roukhe,The Situation,2006
Patricia Neal,The Day the Earth Stood Still,1951
Brie Larson,Basmati Blues,2018
Dagmara Dominczyk,The Count of Monte Cristo,2002
Don Knotts,The Incredible Mr. Limpet,1964
Algenis Perez Soto,Sugar,2008
Matthew McConaughey,Sing,2016
Harley Jane Kozak,All I Want for Christmas,1991
Marsha Mason,Blume in Love,1973
Mayt Cordero,La Leyenda del Chupacabras,2016
Soliman Cruz,"Norte, the End of History",2014
Diane Lane,Streets of Fire,1984
C.D. Barnes,Cinderella III: A Twist in Time,2007
Sean Bean,National Treasure,2004
Benno Frmann,The Order,2003
Alexander Galkin,Eastern Boys,2015
Jordana Spiro,Trespass,2011
Mike Carpenter,The House I Live In,2012
Max von Sydow,The Seventh Seal (Det Sjunde inseglet),1957
Ryan Guzman,The Boy Next Door,2015
Roxanne Coyne,Shopping for Fangs,1998
Esmond Knight,A Canterbury Tale,1949
Jay Thomas,A Smile like Yours,1997
Thomas Kretschmann,Next,2007
Andrea Londo,Superfly,2018
Catherine Deneuve,The Big Picture,2012
D.W. Moffett,Stealing Beauty,1996
Kuei-Mei Yang,Eat Drink Man Woman (Yin shi nan nu),1994
Josh Hutcherson,Little Manhattan,2005
Matthew McConaughey,Free State of Jones,2016
Tim Blake Nelson,Child Of God,2014
Clyde Kusatsu,The Challenge,1982
Jaden Smith,The Day the Earth Stood Still,2008
Hector Elizondo,Pretty Woman,1990
Karl Malden,Billion Dollar Brain,1967
Robert Forster,The Case for Christ,2017
Mustapha Khaddar,The Road to Love,2001
Scott Porter,The Good Guy,2009
Talisa Soto,Piero,2002
Anthony Daniels,The Lord of the Rings,1978
Danny Masterson,California Solo,2012
Ingrid Haas,Dead Snow 2: Red vs. Dead (Dd sn 2),2014
Elena Mandalis,Head On,1999
Jim Belushi,Underdog,2007
Suzanne Kaaren,The Devil Bat,1940
Christina Ricci,Mermaids,1990
Balduin Baas,Orchestra Rehearsal (Prova d'orchestra),1979
Emmanuel Ofusu Yeboah,Emmanuel's Gift,2005
Viva Bianca,Blind,2017
Cynthia Nixon,The Adderall Diaries,2016
Ellar Coltrane,Boyhood,2014
Hamed Behdad,No One Knows About Persian Cats (Les Chats Persans),2010
Rodger Bumpass,The SpongeBob Movie: Sponge Out of Water,2015
Emir Kusturica,Underground,1995
Marshall Napier,The Water Horse: Legend of the Deep,2007
Creighton Chaney,The Defiant Ones,1958
Jared Harris,The Public Eye,1992
Jenna Boyd,The Sisterhood of the Traveling Pants,2005
Irm Hermann,Die Zrtlichkeit der Wlfe (The Tenderness of Wolves),1973
Athena Stamos,Electroma,2006
Norm Macdonald,The Seventh Dwarf,2015
Olivia Wilde,People Like Us,2012
Natalie Maines,Dixie Chicks - Shut Up and Sing,2006
Heino Ferch,The Seagull's Laughter (Mvahltur),2001
Jason Presson,Explorers,1985
Robbie Amell,The Babysitter,2017
Eliza Dushku,Race the Sun,1996
James McAvoy,Victor Frankenstein,2015
Paul McCrane,The Hotel New Hampshire,1984
Jean-Pierre Marielle,Four Flies on Grey Velvet (4 mosche di velluto grigio),1971
Christopher McDonald,Wetlands,2017
Abigail Stone,The Dark,2004
Woody Allen,Scenes from a Mall,1991
David Niven,Please Don't Eat the Daisies,1960
Shah Rukh Khan,Swades,2004
Bebe Neuwirth,Liberty Heights,1999
Yigit zsener,The Two Faces of January,2014
Jesse White,The Rise and Fall of Legs Diamond,1960
Hal Holbrook,Water for Elephants,2011
Kyalo Mativo,Baby: Secret of the Lost Legend,1985
Jason Isaacs,Green Zone,2010
Rodopho (Rudy) Acosta,Hondo,1953
Elijah Wood,The Lord of the Rings: The Fellowship of the Ring,2001
Robert Mitchum,"Farewell, My Lovely",1975
Miyuki Matsuda,Audition (dishon),1999
Chris Tucker,Rush Hour 3,2007
Jack Kehler,Special,2006
James Marsden,Welcome to Me,2015
Zoe Kazan,HappyThankYouMorePlease,2011
Charmian Carr,The Sound of Music,1965
Ryan Eggold,Beside Still Waters,2014
Charles Rouse,"Thelonious Monk: Straight, No Chaser (Straight, No Chaser )",1988
Bernice Stegers,City of Women (La citt delle donne),1981
Roshan Seth,Indiana Jones and the Temple of Doom,1984
Buddy Hackett,The Music Man,1962
JoAnne Akalaitis,Glass: A Portrait of Philip in Twelve Parts,2008
Show Lo,The Mermaid (Mei ren yu),2016
Moritz Bleibtreu,Adam Resurrected,2008
Ambyr Dunn,Black Cop,2017
Misa Shimizu,Warm Water Under a Red Bridge (Akai Hashi No Shita Noo Nurui Mizu),2002
Julianne Moore,Maps to the Stars,2015
Kevin Spacey,Outbreak,1995
Natasha Slayton,Me and You and Everyone We Know,2005
Christopher Penn,Pale Rider,1985
Billy Connolly,White Oleander,2002
Audrey Totter,The Postman Always Rings Twice,1946
Mark Webber,Weapons,2007
Valorie Curry,Blair Witch,2016
Alissa Skovbye,No Men Beyond This Point,2015
Axel Duberg,Slingshot,1993
James Garner,The Ultimate Gift,2006
Rebecca Hall,Transcendence,2014
William Hopper,20 Million Miles to Earth,1957
Jeff Bridges,Cutter's Way,1981
Richard Edson,Do the Right Thing,1989
Rob Schneider,InAPPropriate Comedy,2013
Carla Gugino,The Lookout,2007
Charlotte Munck,A War (Krigen),2016
Maurice Compte,I Do,2013
Spencer Tracy,Northwest Passage,1940
Joo Luis Arrais,Mysteries of Lisbon,2011
David Gumpert,Farmageddon,2011
Loungnam Kaosainam,The Rocket,2014
Ewan McGregor,The Island,2005
Terry Crews,How to Rob a Bank,2007
John Brumpton,Long Weekend (Nature's Grave),2008
Harry Bellaver,No Way Out,1950
Jon Bon Jovi,Vampires: Los Muertos,2002
Tommy Bone,Outside Providence,1999
Kelly Lynch,Passion Play,2011
LaKeith Stanfield,Miles Ahead,2016
Tammy Lauren,Wishmaster,1997
Maxine Peake,The Falling,2015
Brad Rowe,Billy's Hollywood Screen Kiss,1998
James Hong,Balls of Fury,2007
Maggie McNamara,The Cardinal,1963
Robert Wuhl,Cobb,1994
Claire Selby,Ex Machina,2015
Laura del Sol,The Hit,1984
Holly Lewis,These Girls,2006
D.J. Cotrona,Venom,2005
Reiko Takashima,The Hidden Blade,2006
Michael Madsen,Species II,1998
Samantha Morton,Code 46,2004
Tom Skerritt,Field of Lost Shoes,2014
Ralph Bellamy,"Oh, God!",1977
Johnny Knoxville,The Last Stand,2013
Sheila Allen,Children of the Damned,1963
Gene Bervoets,The Vanishing (Spoorloos),1988
Alan Rickman,Galaxy Quest,1999
Beau Bridges,The Descendants,2011
Deep Ng,Kung Fu Killer,2015
LaKeith Stanfield,Come Sunday,2018
Laurie Metcalf,Internal Affairs,1990
Bette Davis,Marked Woman,1937
Kellita Smith,Feel the Noise,2007
Shecky Green,Splash,1984
Natasha Richardson,Constantine's Sword,2007
Douglas Sills,The Swan Princess II: Escape from Castle Mountain,1997
Brandon Bell,Dear White People,2014
Mia Kirshner,388 Arletta Avenue,2012
Ed Harris,The Way Back,2011
Olivier Gourmet,The Kid with a Bike,2012
Steve Coogan,Happy Endings,2005
Jeff Metzler,The Big Gay Musical,2009
Kim Geist,C.H.U.D. (Chud),1984
